Source_Plate,Source_Well,Dest_Plate,Dest_Well,Transfer_Vol
s_water,none,dest_1,A1,544.76
s_water,none,dest_1,B1,544.76
s_water,none,dest_1,C1,544.76
s_water,none,dest_1,D1,544.76
s_water,none,dest_1,E1,388.02
s_water,none,dest_1,F1,388.02
s_water,none,dest_1,G1,388.02
s_water,none,dest_1,H1,388.02
s_water,none,dest_1,A2,234.85
s_water,none,dest_1,B2,234.85
s_water,none,dest_1,C2,234.85
s_water,none,dest_1,D2,234.85
s_water,none,dest_1,E2,233.9
s_water,none,dest_1,F2,233.9
s_water,none,dest_1,G2,233.9
s_water,none,dest_1,H2,233.9
s_water,none,dest_1,A3,226.09
s_water,none,dest_1,B3,226.09
s_water,none,dest_1,C3,226.09
s_water,none,dest_1,D3,226.09
s_water,none,dest_1,E3,297.74
s_water,none,dest_1,F3,297.74
s_water,none,dest_1,G3,297.74
s_water,none,dest_1,H3,297.74
s_water,none,dest_1,A4,187.16
s_water,none,dest_1,B4,187.16
s_water,none,dest_1,C4,187.16
s_water,none,dest_1,D4,187.16
s_water,none,dest_1,E4,247.11
s_water,none,dest_1,F4,247.11
s_water,none,dest_1,G4,247.11
s_water,none,dest_1,H4,247.11
s_water,none,dest_1,A5,357.34
s_water,none,dest_1,B5,357.34
s_water,none,dest_1,C5,357.34
s_water,none,dest_1,D5,357.34
s_water,none,dest_1,E5,234.45
s_water,none,dest_1,F5,234.45
s_water,none,dest_1,G5,234.45
s_water,none,dest_1,H5,234.45
s_water,none,dest_1,A6,421.33
s_water,none,dest_1,B6,421.33
s_water,none,dest_1,C6,421.33
s_water,none,dest_1,D6,421.33
s_water,none,dest_1,E6,354.72
s_water,none,dest_1,F6,354.72
s_water,none,dest_1,G6,354.72
s_water,none,dest_1,H6,354.72
s_water,none,dest_1,A7,289.31
s_water,none,dest_1,B7,289.31
s_water,none,dest_1,C7,289.31
s_water,none,dest_1,D7,289.31
s_water,none,dest_1,E7,222.88
s_water,none,dest_1,F7,222.88
s_water,none,dest_1,G7,222.88
s_water,none,dest_1,H7,222.88
s_water,none,dest_1,A8,414.59
s_water,none,dest_1,B8,414.59
s_water,none,dest_1,C8,414.59
s_water,none,dest_1,D8,414.59
s_water,none,dest_1,E8,535.95
s_water,none,dest_1,F8,535.95
s_water,none,dest_1,G8,535.95
s_water,none,dest_1,H8,535.95
s_water,none,dest_1,A9,391.11
s_water,none,dest_1,B9,391.11
s_water,none,dest_1,C9,391.11
s_water,none,dest_1,D9,391.11
s_water,none,dest_1,E9,409.74
s_water,none,dest_1,F9,409.74
s_water,none,dest_1,G9,409.74
s_water,none,dest_1,H9,409.74
s_water,none,dest_1,A10,425.75
s_water,none,dest_1,B10,425.75
s_water,none,dest_1,C10,425.75
