,Succinate,,,,,,,,
low stock,20,,,,,,media conc ,high ul ,low ul 
high stock ,600,,,,,,,,
,,,,,,,0.2,0.333333333,10
media low,0.02,,,,,,1.2,2,60
media high,150,,,,,,2.2,3.666666667,110
,,,,,,,3.2,5.333333333,160
final well volume,1000,,,,,,4.2,7,210
,,,,,,,5.2,8.666666667,260
addtion break,10,,,,,,6.2,10.33333333,310
,,,,,,,7.2,12,360
,,,,,,,8.2,13.66666667,410
,,,,,,,9.2,15.33333333,460
,,,,,,,10.2,17,510
,,,,,,,11.2,18.66666667,560
,,,,,,,12.2,20.33333333,610
,,,,,,,13.2,22,660
,,,,,,,14.2,23.66666667,710
,,,,,,,15.2,25.33333333,760
,,,,,,,16.2,27,810
,,,,,,,17.2,28.66666667,860
,,,,,,,18.2,30.33333333,910
,,,,,,,19.2,32,960
,,,,,,,20.2,33.66666667,1010
,,,,,,,21.2,35.33333333,1060
,,,,,,,22.2,37,1110
,,,,,,,23.2,38.66666667,1160
,,,,,,,24.2,40.33333333,1210
,,,,,,,25.2,42,1260
,,,,,,,26.2,43.66666667,1310
,,,,,,,27.2,45.33333333,1360
,,,,,,,28.2,47,1410
,,,,,,,29.2,48.66666667,1460
,,,,,,,30.2,50.33333333,1510
,,,,,,,31.2,52,1560
,,,,,,,32.2,53.66666667,1610
,,,,,,,33.2,55.33333333,1660
,,,,,,,34.2,57,1710
,,,,,,,35.2,58.66666667,1760
,,,,,,,36.2,60.33333333,1810
,,,,,,,37.2,62,1860
,,,,,,,38.2,63.66666667,1910
,,,,,,,39.2,65.33333333,1960
,,,,,,,40.2,67,2010
,,,,,,,41.2,68.66666667,2060
,,,,,,,42.2,70.33333333,2110
,,,,,,,43.2,72,2160
,,,,,,,44.2,73.66666667,2210
,,,,,,,45.2,75.33333333,2260
,,,,,,,46.2,77,2310
,,,,,,,47.2,78.66666667,2360
,,,,,,,48.2,80.33333333,2410
,,,,,,,49.2,82,2460
,,,,,,,50.2,83.66666667,2510
,,,,,,,51.2,85.33333333,2560
,,,,,,,52.2,87,2610
,,,,,,,53.2,88.66666667,2660
,,,,,,,54.2,90.33333333,2710
,,,,,,,55.2,92,2760
,,,,,,,56.2,93.66666667,2810
,,,,,,,57.2,95.33333333,2860
,,,,,,,58.2,97,2910
,,,,,,,59.2,98.66666667,2960
,,,,,,,60.2,100.3333333,3010
,,,,,,,61.2,102,3060
,,,,,,,62.2,103.6666667,3110
,,,,,,,63.2,105.3333333,3160
,,,,,,,64.2,107,3210
,,,,,,,65.2,108.6666667,3260
,,,,,,,66.2,110.3333333,3310
,,,,,,,67.2,112,3360
,,,,,,,68.2,113.6666667,3410
,,,,,,,69.2,115.3333333,3460
,,,,,,,70.2,117,3510
,,,,,,,71.2,118.6666667,3560
,,,,,,,72.2,120.3333333,3610
,,,,,,,73.2,122,3660
,,,,,,,74.2,123.6666667,3710
,,,,,,,75.2,125.3333333,3760
,,,,,,,76.2,127,3810
,,,,,,,77.2,128.6666667,3860
,,,,,,,78.2,130.3333333,3910
,,,,,,,79.2,132,3960
,,,,,,,80.2,133.6666667,4010
,,,,,,,81.2,135.3333333,4060
,,,,,,,82.2,137,4110
,,,,,,,83.2,138.6666667,4160
