Source_Plate,Source_Well,Dest_Plate,Dest_Well,Transfer_Vol
s1,A1,dest_1,A1,99.65
s1,A2,dest_1,A1,93.54
s1,A3,dest_1,A1,113.47
s1,A5,dest_1,A1,98.0
s1,A6,dest_1,A1,121.32
s4,C4,dest_1,A1,12.63
s_water,none,dest_1,A1,251.39
s1,A1,dest_1,A10,92.31
s1,A2,dest_1,A10,69.88
s1,A3,dest_1,A10,102.03
s1,A4,dest_1,A10,208.38
s1,A5,dest_1,A10,21.43
s1,A6,dest_1,A10,127.5
s_water,none,dest_1,A10,168.47
s1,A1,dest_1,A11,94.3
s1,A2,dest_1,A11,37.82
s1,A3,dest_1,A11,11.58
s1,A4,dest_1,A11,28.6
s1,A5,dest_1,A11,130.85
s1,A6,dest_1,A11,140.42
s_water,none,dest_1,A11,346.43
s1,A1,dest_1,A12,31.35
s1,A2,dest_1,A12,53.42
s1,A3,dest_1,A12,110.75
s1,A4,dest_1,A12,178.36
s1,A5,dest_1,A12,88.93
s1,A6,dest_1,A12,85.33
s_water,none,dest_1,A12,241.86
s1,A1,dest_1,A2,14.17
s1,A2,dest_1,A2,80.42
s1,A3,dest_1,A2,38.96
s1,A4,dest_1,A2,239.66
s1,A5,dest_1,A2,18.57
s1,A6,dest_1,A2,91.74
s_water,none,dest_1,A2,306.48
s1,A2,dest_1,A3,60.12
s1,A3,dest_1,A3,62.66
s1,A4,dest_1,A3,21.62
s1,A5,dest_1,A3,166.35
s4,C1,dest_1,A3,97.19
s4,C6,dest_1,A3,18.92
s_water,none,dest_1,A3,363.14
s1,A1,dest_1,A4,12.3
s1,A2,dest_1,A4,12.22
s1,A3,dest_1,A4,123.47
s1,A4,dest_1,A4,82.8
s1,A5,dest_1,A4,65.68
s1,A6,dest_1,A4,139.49
s_water,none,dest_1,A4,354.04
s1,A1,dest_1,A5,29.32
s1,A2,dest_1,A5,15.01
s1,A3,dest_1,A5,186.94
s1,A4,dest_1,A5,246.31
s1,A5,dest_1,A5,83.12
s1,A6,dest_1,A5,104.99
s_water,none,dest_1,A5,124.31
s1,A1,dest_1,A6,62.8
s1,A2,dest_1,A6,96.98
s1,A3,dest_1,A6,158.2
s1,A5,dest_1,A6,126.29
s1,A6,dest_1,A6,140.69
s4,C4,dest_1,A6,148.6
s_water,none,dest_1,A6,56.44
s1,A3,dest_1,A7,174.24
s1,A4,dest_1,A7,16.07
s1,A5,dest_1,A7,97.75
s1,A6,dest_1,A7,131.92
s4,C1,dest_1,A7,15.59
s4,C2,dest_1,A7,38.88
s_water,none,dest_1,A7,315.55
s1,A1,dest_1,A8,74.75
s1,A2,dest_1,A8,73.28
s1,A3,dest_1,A8,80.22
s1,A4,dest_1,A8,140.78
s1,A5,dest_1,A8,52.84
s1,A6,dest_1,A8,55.66
s_water,none,dest_1,A8,312.47
s1,A2,dest_1,A9,81.68
s1,A3,dest_1,A9,134.83
s1,A4,dest_1,A9,221.29
s1,A5,dest_1,A9,38.67
s1,A6,dest_1,A9,133.48
s4,C1,dest_1,A9,28.82
s_water,none,dest_1,A9,151.23
s1,A1,dest_1,B1,58.59
s1,A2,dest_1,B1,17.47
s1,A3,dest_1,B1,153.89
s1,A4,dest_1,B1,176.56
s1,A5,dest_1,B1,41.49
s1,A6,dest_1,B1,82.66
s_water,none,dest_1,B1,259.34
s1,A2,dest_1,B10,90.54
s1,A3,dest_1,B10,31.62
s1,A4,dest_1,B10,118.34
s1,A5,dest_1,B10,100.39
s1,A6,dest_1,B10,140.29
s4,C1,dest_1,B10,49.6
s_water,none,dest_1,B10,259.22
s1,A1,dest_1,B11,45.49
s1,A2,dest_1,B11,24.71
s1,A3,dest_1,B11,52.19
s1,A4,dest_1,B11,192.9
s1,A5,dest_1,B11,96.58
s1,A6,dest_1,B11,112.08
s_water,none,dest_1,B11,266.05
