Source_Plate,Source_Well,Dest_Plate,Dest_Well,Transfer_Vol
s1,A1,dest_1,A1,15.0
s1,A4,dest_1,A1,19.91
s1,A5,dest_1,A1,197.92
s1,B2,dest_1,A1,15.13
s1,B4,dest_1,A1,21.66
s1,C2,dest_1,A1,5.11
s1,D3,dest_1,A1,7.73
s1,D4,dest_1,A1,20.62
s4,A1,dest_1,A1,46.8
s4,A2,dest_1,A1,42.26
s4,B1,dest_1,A1,5.08
s4,D1,dest_1,A1,26.7
s_water,A1,dest_1,A1,179.35
s_water,A1,dest_1,A1,179.35
s_water,A1,dest_1,A1,179.35
s_water,A1,dest_1,A1,179.35
s_water,A1,dest_1,A1,179.35
s_water,A1,dest_1,A1,179.35
s1,A1,dest_1,A2,15.0
s1,A4,dest_1,A2,19.91
s1,A5,dest_1,A2,197.92
s1,B2,dest_1,A2,15.13
s1,B4,dest_1,A2,21.66
s1,C2,dest_1,A2,5.11
s1,D3,dest_1,A2,7.73
s1,D4,dest_1,A2,20.62
s4,A1,dest_1,A2,46.8
s4,A2,dest_1,A2,42.26
s4,B1,dest_1,A2,5.08
s4,D1,dest_1,A2,26.7
s_water,A1,dest_1,A2,179.35
s_water,A1,dest_1,A2,179.35
s_water,A1,dest_1,A2,179.35
s_water,A1,dest_1,A2,179.35
s_water,A1,dest_1,A2,179.35
s_water,A1,dest_1,A2,179.35
s1,A1,dest_1,A3,15.0
s1,A4,dest_1,A3,19.91
s1,A5,dest_1,A3,197.92
s1,B2,dest_1,A3,15.13
s1,B4,dest_1,A3,21.66
s1,C2,dest_1,A3,5.11
s1,D3,dest_1,A3,7.73
s1,D4,dest_1,A3,20.62
s4,A1,dest_1,A3,46.8
s4,A2,dest_1,A3,42.26
s4,B1,dest_1,A3,5.08
s4,D1,dest_1,A3,26.7
s_water,A1,dest_1,A3,179.35
s_water,A1,dest_1,A3,179.35
s_water,A1,dest_1,A3,179.35
s_water,A1,dest_1,A3,179.35
s_water,A1,dest_1,A3,179.35
s_water,A1,dest_1,A3,179.35
s1,A1,dest_1,A4,15.0
s1,A4,dest_1,A4,19.91
s1,A5,dest_1,A4,197.92
s1,B2,dest_1,A4,15.13
s1,B4,dest_1,A4,21.66
s1,C2,dest_1,A4,5.11
s1,D3,dest_1,A4,7.73
s1,D4,dest_1,A4,20.62
s4,A1,dest_1,A4,46.8
s4,A2,dest_1,A4,42.26
s4,B1,dest_1,A4,5.08
s4,D1,dest_1,A4,26.7
s_water,A1,dest_1,A4,179.35
s_water,A1,dest_1,A4,179.35
s_water,A1,dest_1,A4,179.35
s_water,A1,dest_1,A4,179.35
s_water,A1,dest_1,A4,179.35
s_water,A1,dest_1,A4,179.35
s1,A1,dest_1,A5,15.0
s1,A2,dest_1,A5,13.12
s1,A5,dest_1,A5,50.61
s1,B3,dest_1,A5,12.92
s1,B4,dest_1,A5,6.93
s1,C1,dest_1,A5,5.74
s1,C2,dest_1,A5,9.15
s1,D4,dest_1,A5,161.23
s1,D4,dest_1,A5,161.23
s1,D4,dest_1,A5,161.23
s4,A2,dest_1,A5,25.4
s4,B2,dest_1,A5,14.49
s4,C1,dest_1,A5,21.91
s4,C2,dest_1,A5,25.62
s_water,A1,dest_1,A5,163.09
s_water,A1,dest_1,A5,163.09
s_water,A1,dest_1,A5,163.09
s_water,A1,dest_1,A5,163.09
s_water,A1,dest_1,A5,163.09
s1,A1,dest_1,A6,15.0
s1,A2,dest_1,A6,13.12
s1,A5,dest_1,A6,50.61
s1,B3,dest_1,A6,12.92
s1,B4,dest_1,A6,6.93
s1,C1,dest_1,A6,5.74
s1,C2,dest_1,A6,9.15
s1,D4,dest_1,A6,161.23
s1,D4,dest_1,A6,161.23
s1,D4,dest_1,A6,161.23
s4,A2,dest_1,A6,25.4
s4,B2,dest_1,A6,14.49
s4,C1,dest_1,A6,21.91
s4,C2,dest_1,A6,25.62
s_water,A1,dest_1,A6,163.09
s_water,A1,dest_1,A6,163.09
s_water,A1,dest_1,A6,163.09
s_water,A1,dest_1,A6,163.09
s_water,A1,dest_1,A6,163.09
s1,A1,dest_1,A7,15.0
s1,A2,dest_1,A7,13.12
s1,A5,dest_1,A7,50.61
s1,B3,dest_1,A7,12.92
s1,B4,dest_1,A7,6.93
s1,C1,dest_1,A7,5.74
s1,C2,dest_1,A7,9.15
s1,D4,dest_1,A7,161.23
s1,D4,dest_1,A7,161.23
s1,D4,dest_1,A7,161.23
s4,A2,dest_1,A7,25.4
s4,B2,dest_1,A7,14.49
s4,C1,dest_1,A7,21.91
s4,C2,dest_1,A7,25.62
s_water,A1,dest_1,A7,163.09
s_water,A1,dest_1,A7,163.09
s_water,A1,dest_1,A7,163.09
s_water,A1,dest_1,A7,163.09
s_water,A1,dest_1,A7,163.09
s1,A1,dest_1,A8,15.0
s1,A2,dest_1,A8,13.12
s1,A5,dest_1,A8,50.61
s1,B3,dest_1,A8,12.92
s1,B4,dest_1,A8,6.93
s1,C1,dest_1,A8,5.74
s1,C2,dest_1,A8,9.15
s1,D4,dest_1,A8,161.23
s1,D4,dest_1,A8,161.23
s1,D4,dest_1,A8,161.23
s4,A2,dest_1,A8,25.4
s4,B2,dest_1,A8,14.49
s4,C1,dest_1,A8,21.91
s4,C2,dest_1,A8,25.62
s_water,A1,dest_1,A8,163.09
s_water,A1,dest_1,A8,163.09
s_water,A1,dest_1,A8,163.09
s_water,A1,dest_1,A8,163.09
s_water,A1,dest_1,A8,163.09
s1,A1,dest_1,B1,15.0
s1,A2,dest_1,B1,49.64
s1,A4,dest_1,B1,16.54
s1,A5,dest_1,B1,33.14
s1,B2,dest_1,B1,22.81
s1,B3,dest_1,B1,8.68
s1,B4,dest_1,B1,24.95
s1,C1,dest_1,B1,21.52
s1,C2,dest_1,B1,6.1
s1,C3,dest_1,B1,16.75
s1,D3,dest_1,B1,14.33
s1,D4,dest_1,B1,199.64
s1,D4,dest_1,B1,199.64
s_water,A1,dest_1,B1,174.25
s_water,A1,dest_1,B1,174.25
s_water,A1,dest_1,B1,174.25
s_water,A1,dest_1,B1,174.25
s_water,A1,dest_1,B1,174.25
s1,A1,dest_1,B2,15.0
s1,A2,dest_1,B2,49.64
s1,A4,dest_1,B2,16.54
s1,A5,dest_1,B2,33.14
s1,B2,dest_1,B2,22.81
s1,B3,dest_1,B2,8.68
s1,B4,dest_1,B2,24.95
s1,C1,dest_1,B2,21.52
s1,C2,dest_1,B2,6.1
s1,C3,dest_1,B2,16.75
s1,D3,dest_1,B2,14.33
s1,D4,dest_1,B2,199.64
s1,D4,dest_1,B2,199.64
s_water,A1,dest_1,B2,174.25
